file,page,year,station_code,station_name,coordinates,catchment_area_km2,annual_total_m3_million,annual_mm,annual_lps_km2,flow_october_m3s,flow_november_m3s,flow_december_m3s,flow_january_m3s,flow_february_m3s,flow_march_m3s,flow_april_m3s,flow_may_m3s,flow_june_m3s,flow_july_m3s,flow_august_m3s,flow_september_m3s,flow_avg_annual_m3s,ltsnkm2_Ekim,ltsnkm2_Kasım,ltsnkm2_Aralık,ltsnkm2_Ocak,ltsnkm2_Şubat,ltsnkm2_Mart,ltsnkm2_Nisan,ltsnkm2_Mayıs,ltsnkm2_Haziran,ltsnkm2_Temmuz,ltsnkm2_Ağustos,ltsnkm2_Eylül,ltsnkm2_average,mm_akim_Ekim,mm_akim_Kasım,mm_akim_Aralık,mm_akim_Ocak,mm_akim_Şubat,mm_akim_Mart,mm_akim_Nisan,mm_akim_Mayıs,mm_akim_Haziran,mm_akim_Temmuz,mm_akim_Ağustos,mm_akim_Eylül,mm_akim_annual_average,mil_m3_Ekim,mil_m3_Kasım,mil_m3_Aralık,mil_m3_Ocak,mil_m3_Şubat,mil_m3_Mart,mil_m3_Nisan,mil_m3_Mayıs,mil_m3_Haziran,mil_m3_Temmuz,mil_m3_Ağustos,mil_m3_Eylül,mil_m3_annual_average
dsi_2005.pdf,439,2005,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,288.33,405.0,1.43,0.679,1.33,2.13,1.81,3.07,27.5,37.4,21.8,8.07,2.5,1.77,1.43,9.124,2.0,0.953,1.86,2.99,2.54,4.31,38.5,52.5,30.6,11.3,3.5,2.48,12.794,2.55,4.83,8.02,6.8,10.4,103.0,136.0,82.0,29.4,9.38,6.65,5.22,33.687,1.82,3.44,5.72,4.84,7.44,73.5,97.1,58.4,20.9,6.69,4.74,3.72,24.026
dsi_2006.pdf,509,2006,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,414.3,581.0,2.23,2.17,2.73,3.03,2.63,5.72,39.9,44.8,38.7,10.4,3.35,1.41,2.23,13.089,2.0,3.04,3.83,4.26,3.69,8.03,55.9,62.9,54.2,14.5,4.71,1.98,18.253,8.14,9.92,11.4,9.9,19.4,150.0,163.0,145.0,37.7,12.6,5.31,8.13,48.375,5.8,7.07,8.12,7.05,13.8,107.0,116.0,104.0,26.9,8.98,3.79,5.79,34.525
dsi_2007.pdf,492,2007,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,251.71,353.0,0.991,3.39,9.79,2.72,2.25,3.96,17.9,26.0,20.9,4.85,1.76,1.14,0.991,7.971,2.0,4.76,13.7,3.82,3.16,5.55,25.2,36.4,29.4,6.81,2.47,1.6,11.239,12.8,35.6,10.2,8.46,13.4,67.4,94.5,78.7,17.7,6.61,4.27,3.6,29.437,9.09,25.4,7.29,6.03,9.57,48.0,67.3,56.1,12.6,4.71,3.05,2.57,20.976
dsi_2008.pdf,474,2008,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,271.34,381.0,0.747,1.63,2.57,6.46,4.26,3.52,37.8,23.7,12.7,6.72,1.83,0.813,0.747,8.562,2.0,2.28,3.6,9.07,5.97,4.94,53.1,33.2,17.9,9.43,2.57,1.14,12.1,6.11,9.34,24.3,16.0,12.4,142.0,86.0,47.9,24.4,6.88,3.06,2.72,31.759,4.35,6.66,17.3,11.4,8.81,101.0,61.3,34.1,17.4,4.9,2.18,1.94,22.612
dsi_2009.pdf,489,2009,D14A162,Ye,,,,382.0,1.39,1.64,2.82,3.12,3.63,8.77,16.5,29.1,22.5,9.46,3.69,1.18,1.39,8.65,2.0,2.3,3.95,4.39,5.09,12.3,23.2,40.8,31.6,13.3,5.17,1.65,12.146,6.17,10.3,11.7,13.6,29.8,62.2,106.0,84.6,34.4,13.9,4.43,5.04,31.845,,,,,,,,,,,,,
dsi_2010.pdf,474,2010,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,332.75,467.0,0.07,1.21,12.2,11.7,14.1,19.2,28.6,18.9,13.2,6.48,1.58,0.105,0.07,10.612,2.0,1.7,17.2,16.4,19.7,27.0,40.2,26.5,18.5,9.1,2.22,0.148,15.056,4.57,44.5,43.9,52.8,65.2,108.0,68.6,49.5,23.6,5.96,0.395,0.253,38.94,3.25,31.7,31.3,37.6,46.5,76.7,48.9,35.3,16.8,4.24,0.282,0.18,27.729
dsi_2011.pdf,492,2011,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,269.7,378.0,2.14,0.801,0.649,1.23,0.963,2.04,14.8,29.9,29.1,13.5,4.92,2.36,2.14,8.534,2.0,1.12,0.91,1.72,1.35,2.86,20.7,41.9,40.8,18.9,6.9,3.31,11.872,3.01,2.36,4.61,3.62,6.93,55.5,109.0,109.0,49.1,18.5,8.86,7.79,31.523,2.15,1.68,3.29,2.58,4.94,39.5,77.5,78.0,35.0,13.2,6.31,5.55,22.475
dsi_2012.pdf,546,2012,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,221.86,311.0,1.33,1.96,1.63,1.39,1.57,1.71,4.75,36.3,20.2,9.2,3.04,1.38,1.33,7.038,2.0,2.75,2.28,1.95,2.21,2.4,6.66,51.0,28.4,12.9,4.27,1.93,9.896,7.37,5.92,5.21,5.92,6.01,17.8,132.0,75.9,33.5,11.4,5.17,4.83,25.919,5.25,4.22,3.72,4.22,4.28,12.7,94.2,54.1,23.9,8.15,3.68,3.44,18.488
dsi_2013.pdf,545,2013,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,252.62,354.0,1.67,1.47,4.93,5.28,6.27,11.2,25.4,22.4,10.3,4.49,1.73,1.43,1.67,8.048,2.0,2.06,6.92,7.41,8.8,15.7,35.6,31.4,14.4,6.31,2.43,2.0,11.252,5.53,17.9,19.8,23.6,38.0,95.4,81.4,38.6,16.3,6.51,5.36,6.06,29.538,3.94,12.8,14.1,16.8,27.1,68.0,58.0,27.5,11.6,4.64,3.82,4.32,21.052
dsi_2014.pdf,513,2014,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,62.05,87.0,1.43,1.36,1.19,1.46,1.4,1.58,4.88,3.73,3.03,1.93,0.857,0.73,1.43,1.965,2.0,1.9,1.67,2.04,1.97,2.22,6.85,5.24,4.25,2.71,1.2,1.02,2.756,5.1,4.33,5.48,5.26,5.38,18.3,13.6,11.4,7.03,3.22,2.74,5.19,7.252,3.63,3.09,3.9,3.75,3.83,13.1,9.68,8.11,5.01,2.3,1.95,3.7,5.171
dsi_2015.pdf,529,2015,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,254.89,358.0,1.1,3.18,4.09,7.58,4.31,3.98,16.4,29.4,16.0,7.39,2.09,1.39,1.1,8.076,2.0,4.46,5.75,10.6,6.04,5.58,23.0,41.2,22.5,10.4,2.93,1.95,11.368,11.9,14.9,28.5,16.2,13.5,61.7,107.0,60.1,26.9,7.86,5.21,3.99,29.813,8.51,10.6,20.3,11.5,9.63,44.0,76.1,42.9,19.2,5.6,3.71,2.84,21.241
dsi_2016.pdf,529,2016,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,294.13,413.0,2.1,1.75,1.66,2.06,3.79,12.1,21.5,22.5,25.1,12.7,4.67,1.96,2.1,9.324,2.0,2.46,2.33,2.89,5.32,17.0,30.2,31.5,35.2,17.8,6.55,2.76,13.001,6.59,6.04,7.73,14.3,42.6,80.8,81.7,94.3,46.1,17.5,7.38,7.64,34.39,4.7,4.31,5.51,10.2,30.4,57.6,58.2,67.2,32.8,12.5,5.26,5.45,24.511
dsi_2017.pdf,530,2017,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,127.49,179.0,0.695,1.96,1.73,1.66,1.79,1.84,5.68,14.2,9.79,5.53,2.34,1.3,0.695,4.043,2.0,2.75,2.43,2.33,2.51,2.58,7.98,19.9,13.7,7.76,3.29,1.83,5.755,7.37,6.31,6.24,6.73,6.25,21.4,51.7,36.8,20.1,8.8,4.9,2.53,14.928,5.25,4.49,4.45,4.79,4.45,15.2,36.8,26.2,14.3,6.27,3.49,1.8,10.624
dsi_2018.pdf,513,2018,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,160.37,225.0,1.69,0.83,1.36,2.94,2.32,5.29,19.3,8.06,9.27,6.34,2.29,1.28,1.69,5.081,2.0,1.17,1.91,4.13,3.25,7.42,27.1,11.3,13.0,8.9,3.21,1.79,7.098,3.12,4.94,11.1,8.71,17.9,72.6,29.3,34.8,23.1,8.6,4.79,6.16,18.76,2.22,3.52,7.88,6.21,12.8,51.7,20.9,24.8,16.4,6.13,3.42,4.39,13.364
dsi_2019.pdf,477,2019,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,289.83,407.0,1.53,2.54,1.65,5.74,7.77,9.68,18.1,30.7,21.4,7.24,2.66,1.4,1.53,9.201,2.0,3.57,2.32,8.06,10.9,13.6,25.4,43.1,30.0,10.2,3.73,1.96,12.903,9.55,6.01,21.6,29.2,32.9,68.1,112.0,80.4,26.3,10.0,5.26,5.56,33.907,6.81,4.28,15.4,20.8,23.4,48.6,79.6,57.3,18.8,7.13,3.75,3.96,24.152
dsi_2020.pdf,486,2020,D14A162,Yeşi̇lirmak Kozlu̇,,712.62,214.45,301.0,1.04,1.37,1.29,1.71,2.14,5.66,21.7,19.3,18.0,5.76,2.23,1.15,1.04,6.779,2.0,1.92,1.81,2.4,3.0,7.94,30.4,27.1,25.3,8.08,3.13,1.61,9.558,5.13,4.68,6.42,8.03,19.9,81.5,70.2,67.7,20.9,8.38,4.32,3.78,25.078,3.66,3.34,4.57,5.73,14.2,58.1,50.0,48.2,14.9,5.97,3.08,2.7,17.871
dsi_2009.pdf,498,2009,D14A172,Kelk,,,,,66.7,,,,,,,,,,,,,,2.0,3.18,2.5,5.52,6.0,7.47,8.56,18.7,8.36,7.19,6.31,6.24,6.836,,,,,,,,,,,,,,,,,,,,,,,,,,
dsi_2010.pdf,481,2010,D14A172,Kelki̇t Ç,,10693.0,3943.0,369.0,61.8,61.2,97.5,119.0,150.0,132.0,211.0,189.0,175.0,96.4,92.4,114.0,61.8,124.942,2.0,5.72,9.12,11.1,14.0,12.3,19.8,17.7,16.3,9.01,8.64,10.7,11.366,15.3,23.6,29.9,37.5,29.9,52.9,45.8,43.8,23.4,23.1,28.6,15.0,30.733,164.0,253.0,319.0,401.0,319.0,566.0,490.0,468.0,250.0,247.0,306.0,160.0,328.583
dsi_2011.pdf,496,2011,D14A172,Kelki̇t Ç,,10693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsi_2012.pdf,552,2012,D14A172,Kelki̇t Ç,,10693.0,2075.0,194.0,47.7,70.0,49.2,48.2,77.2,79.8,49.4,107.0,78.7,72.0,58.0,50.5,47.7,65.642,2.0,6.55,4.6,4.5,7.22,7.46,4.62,10.1,7.36,6.73,5.42,4.72,5.94,17.5,11.9,12.1,19.3,18.7,12.4,26.1,19.7,17.4,14.5,12.6,11.6,16.15,188.0,128.0,129.0,207.0,200.0,132.0,279.0,211.0,187.0,155.0,135.0,124.0,172.917
dsi_2014.pdf,559,2014,D14A172,Kelki̇t Ç,,13300.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsi_2015.pdf,580,2015,D14A172,Kelki̇t Ç,,104.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsi_2018.pdf,515,2018,D14A172,Kelki̇t Ç,,10693.0,1271.1,119.0,43.8,57.3,25.0,94.6,53.5,54.9,18.0,13.4,16.0,33.8,33.7,39.7,43.8,40.308,2.0,5.36,2.34,8.85,5.01,5.13,1.68,1.25,1.5,3.16,3.15,3.71,3.595,14.4,6.06,23.7,13.4,12.4,4.5,3.25,4.0,8.19,8.44,9.94,10.6,9.907,154.0,64.7,253.0,143.0,133.0,48.1,34.7,42.8,87.6,90.2,106.0,114.0,105.925
dsi_2018.pdf,516,2018,D14A172,Kelki̇t Ç,,10693.0,1407.7,132.0,52.5,37.8,35.3,46.3,58.9,46.7,55.9,60.9,22.9,18.6,49.6,50.2,52.5,44.633,2.0,3.53,3.3,4.33,5.51,4.37,5.22,5.69,2.14,1.74,4.64,4.7,3.931,9.46,8.55,11.6,14.8,10.6,14.0,14.8,5.73,4.5,12.4,12.6,12.7,10.978,101.0,91.4,124.0,158.0,113.0,150.0,158.0,61.2,48.1,133.0,134.0,136.0,117.308
dsi_2019.pdf,480,2019,D14A172,Kelki̇t Ç,,10693.0,1779.0,166.0,70.7,20.5,17.0,41.9,71.2,72.5,70.3,70.0,63.1,46.5,63.0,71.3,70.7,56.5,2.0,1.92,1.59,3.92,6.66,6.78,6.58,6.54,5.9,4.35,5.89,6.67,4.9,5.14,4.12,10.5,17.8,16.4,17.6,17.0,15.8,11.3,15.8,17.9,17.1,13.872,55.0,44.0,112.0,191.0,175.0,188.0,181.0,169.0,121.0,169.0,191.0,183.0,148.25
dsi_2020.pdf,489,2020,D14A172,Kelki̇t Ç,,10693.0,1612.1,151.0,52.5,62.8,58.9,49.2,36.0,51.3,60.9,34.6,47.5,58.2,51.5,48.2,52.5,50.967,2.0,5.88,5.5,4.6,3.37,4.8,5.7,3.23,4.44,5.44,4.81,4.5,4.522,15.7,14.3,12.3,9.03,12.0,15.3,8.38,11.9,14.1,12.9,12.1,12.7,12.559,168.0,153.0,132.0,96.5,129.0,163.0,89.6,127.0,151.0,138.0,129.0,136.0,134.342
dsi_2016.pdf,548,2016,D14A192,Kelki̇t N,,10811.6,2560.0,237.0,72.7,72.7,56.6,62.6,50.5,78.6,84.6,87.4,128.0,123.0,80.9,74.1,72.7,80.975,2.0,6.72,5.24,5.79,4.68,7.27,7.82,8.09,11.8,11.4,7.48,6.85,7.095,18.0,13.6,15.5,12.5,18.2,20.9,21.0,31.7,29.5,20.0,18.4,17.4,19.725,195.0,147.0,168.0,135.0,197.0,226.0,227.0,343.0,319.0,217.0,198.0,188.0,213.333
dsi_2017.pdf,550,2017,D14A192,Kelki̇t N,,10811.6,1654.5,153.0,58.1,71.0,39.1,98.4,68.9,68.5,30.9,22.3,23.1,47.1,48.3,54.7,58.1,52.533,2.0,6.57,3.61,9.1,6.37,6.34,2.86,2.06,2.13,4.36,4.47,5.06,4.578,17.6,9.37,24.4,17.1,15.3,7.66,5.34,5.71,11.3,12.0,13.5,13.9,12.765,190.0,101.0,263.0,184.0,166.0,82.9,57.8,61.8,122.0,129.0,146.0,151.0,137.875
dsi_2018.pdf,532,2018,D14A192,Kelki̇t N,,10811.6,1765.9,163.0,66.2,53.9,49.7,62.1,71.2,55.2,63.2,63.0,29.0,29.8,65.2,63.1,66.2,55.967,2.0,4.98,4.59,5.75,6.59,5.11,5.85,5.82,2.69,2.75,6.03,5.84,4.833,13.3,11.9,15.4,17.6,12.4,15.7,15.1,7.19,7.13,16.2,15.6,15.9,13.618,144.0,129.0,166.0,191.0,134.0,169.0,163.0,77.8,77.1,175.0,169.0,171.0,147.158
dsi_2019.pdf,496,2019,D14A192,Kelki̇t N,,10811.6,2075.5,192.0,77.4,30.7,27.5,57.6,81.5,82.7,75.7,74.7,75.5,59.9,71.4,76.2,77.4,65.9,2.0,2.84,2.55,5.33,7.54,7.65,7.01,6.91,6.98,5.54,6.6,7.05,5.667,7.6,6.6,14.3,20.2,18.5,18.8,17.9,18.7,14.4,17.7,18.9,18.6,16.017,82.1,71.4,154.0,218.0,200.0,203.0,194.0,202.0,155.0,191.0,204.0,201.0,172.958
dsi_2020.pdf,504,2020,D14A192,Kelki̇t N,,10811.6,2047.0,189.0,70.3,70.2,74.3,59.5,51.2,65.6,73.1,48.0,62.0,72.1,66.4,64.8,70.3,64.792,2.0,6.49,6.87,5.5,4.73,6.07,6.76,4.44,5.73,6.67,6.14,6.0,5.617,17.4,17.8,14.7,12.7,15.2,18.1,11.5,15.4,17.3,16.4,16.1,16.9,15.792,188.0,192.0,159.0,137.0,164.0,196.0,124.0,166.0,187.0,178.0,174.0,182.0,170.583
dsi_2005.pdf,687,2005,D22A093,Turna Suyu Cumhuri̇yet Köyü̇,,210.0,190.24,906.0,3.62,2.44,4.1,7.14,4.87,7.26,14.4,13.0,8.08,5.51,1.27,0.862,3.62,6.046,2.0,11.6,19.5,34.0,23.2,34.6,68.5,62.0,38.5,26.2,6.05,4.1,27.521,31.2,50.6,91.1,62.2,83.6,183.0,161.0,103.0,68.0,16.2,11.0,44.7,75.467,6.55,10.6,19.1,13.1,17.6,38.5,33.8,21.6,14.3,3.4,2.31,9.38,15.853
dsi_2006.pdf,808,2006,D22A093,Turna Ç,,210.0,177.29,844.0,1.39,10.5,7.87,2.2,3.47,6.25,11.7,9.11,8.22,1.07,4.98,0.687,1.39,5.621,2.0,50.1,37.5,10.5,16.5,29.7,55.6,43.4,39.2,5.09,23.7,3.27,26.38,134.0,97.2,28.0,44.2,72.0,149.0,112.0,105.0,13.2,63.5,8.76,17.2,70.338,28.2,20.4,5.88,9.29,15.1,31.3,23.6,22.0,2.77,13.3,1.84,3.61,14.774
dsi_2007.pdf,766,2007,D22A093,Turna Ç,,210.0,183.9,876.0,2.23,3.93,7.27,2.93,4.69,9.01,17.0,10.2,8.42,1.16,2.56,0.784,2.23,5.849,2.0,18.7,34.6,14.0,22.4,42.9,81.1,48.4,40.1,5.54,12.2,3.73,27.139,50.2,89.7,37.4,59.9,104.0,217.0,126.0,107.0,14.4,32.6,9.99,27.6,72.982,10.5,18.8,7.85,12.6,21.8,45.6,26.4,22.6,3.01,6.85,2.1,5.79,15.325
dsi_2008.pdf,750,2008,D22A093,Turna Ç,,210.0,171.62,817.0,6.7,3.62,7.62,2.64,1.18,2.28,22.2,4.26,3.56,7.73,1.72,1.55,6.7,5.422,2.0,17.2,36.3,12.6,5.6,10.9,106.0,20.3,16.9,36.8,8.21,7.36,23.348,46.2,94.1,33.6,15.0,27.2,283.0,52.5,45.4,95.4,22.0,19.7,82.7,68.067,9.7,19.8,7.06,3.15,5.72,59.5,11.0,9.53,20.0,4.62,4.14,17.4,14.302
dsi_2009.pdf,749,2009,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,200.04,953.0,10.9,5.06,3.08,5.37,7.92,8.33,10.0,5.78,6.35,1.63,9.64,2.14,10.9,6.35,2.0,24.1,14.7,25.6,37.7,39.6,47.6,27.5,30.2,7.76,45.9,10.2,26.072,64.6,38.0,68.5,101.0,95.9,128.0,71.4,81.0,20.1,123.0,27.3,134.0,79.4,13.6,7.99,14.4,21.2,20.1,26.8,15.0,17.0,4.23,25.8,5.72,28.2,16.67
dsi_2010.pdf,752,2010,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,178.8,851.0,0.742,2.28,16.8,5.21,6.0,13.5,9.21,6.5,3.23,3.06,1.8,0.584,0.742,5.743,2.0,10.8,80.0,24.8,28.6,64.4,43.9,31.0,15.4,14.6,8.57,2.78,27.237,29.1,207.0,66.4,76.5,156.0,118.0,80.2,41.3,37.8,23.0,7.45,9.15,70.992,6.1,43.5,14.0,16.1,32.7,24.7,16.8,8.66,7.94,4.82,1.56,1.92,14.9
dsi_2011.pdf,785,2011,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,139.27,663.0,1.11,6.34,1.85,0.719,1.54,4.29,8.45,9.81,8.18,4.17,1.78,4.74,1.11,4.415,2.0,30.2,8.81,3.42,7.32,20.4,40.2,46.7,38.9,19.8,8.46,22.6,20.734,80.9,22.8,9.17,19.6,49.4,108.0,121.0,104.0,51.4,22.7,60.5,13.7,55.264,17.0,4.79,1.93,4.12,10.4,22.6,25.4,21.9,10.8,4.76,12.7,2.87,11.606
dsi_2012.pdf,858,2012,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,148.43,707.0,0.698,4.09,6.89,3.85,2.86,2.78,6.66,16.8,5.62,3.37,2.14,0.691,0.698,4.704,2.0,19.5,32.8,18.4,13.6,13.2,31.7,80.2,26.8,16.0,10.2,3.29,22.308,52.2,85.1,49.2,36.5,33.1,84.9,208.0,71.7,41.6,27.3,8.82,8.62,58.92,11.0,17.9,10.3,7.66,6.96,17.8,43.6,15.1,8.73,5.72,1.85,1.81,12.369
dsi_2013.pdf,862,2013,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,113.35,540.0,1.2,1.01,8.16,3.29,6.05,5.37,9.92,3.22,1.89,1.95,0.813,0.398,1.2,3.606,2.0,4.8,38.9,15.7,28.8,25.6,47.2,15.3,9.02,9.3,3.87,1.9,16.866,12.8,101.0,42.0,77.1,61.8,126.0,39.7,24.2,24.1,10.4,5.08,14.8,44.915,2.7,21.2,8.81,16.2,13.0,26.6,8.34,5.08,5.06,2.18,1.07,3.11,9.446
dsi_2014.pdf,911,2014,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,108.67,517.0,2.55,6.4,0.612,3.12,4.74,3.54,6.58,3.97,3.11,3.57,1.52,1.54,2.55,3.438,2.0,30.5,2.91,14.9,22.6,16.9,31.3,18.9,14.8,17.0,7.21,7.31,15.528,81.7,7.55,39.8,60.5,40.8,83.9,49.1,39.6,44.1,19.3,19.6,31.5,43.121,17.2,1.59,8.35,12.7,8.56,17.6,10.3,8.32,9.27,4.06,4.11,6.61,9.056
dsi_2015.pdf,892,2015,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,189.04,900.0,0.425,6.87,11.0,8.02,5.61,5.98,11.7,10.2,2.98,5.28,3.34,0.566,0.425,5.998,2.0,32.7,52.6,38.2,26.7,28.5,55.9,48.4,14.2,25.1,15.9,2.7,28.575,87.7,136.0,102.0,71.6,68.9,150.0,126.0,38.0,65.2,42.5,7.22,5.25,75.031,18.4,28.6,21.5,15.0,14.5,31.4,26.4,7.98,13.7,8.94,1.52,1.1,15.753
dsi_2016.pdf,898,2016,D22A093,Turnasuyu Cumhuri̇yet Köyü̇,,210.0,219.81,1047.0,5.92,3.47,6.9,2.89,9.46,15.1,9.01,6.47,11.6,4.6,7.34,1.12,5.92,6.99,2.0,16.5,32.9,13.7,45.0,72.0,42.9,30.8,55.2,21.9,34.9,5.31,31.092,44.2,85.2,36.8,121.0,180.0,115.0,79.9,148.0,56.8,93.6,14.2,73.0,87.308,9.29,17.9,7.73,25.3,37.9,24.1,16.8,31.0,11.9,19.6,2.99,15.3,18.318
